,new.fname,mean,median,gt.10,gt.20
104,z0175912_Mnov_MS51_n0028529,5.323369565,5,44,0
126,z0195258_Mnov_MS51_n0028277,6.173913043,5,69,5
146,z0195668_Mnov_MS51_n0028294,8.02173913,5,92,12
213,z0195772_Mnov_MS51_n0028351,8.073369565,5,84,15
302,z0196845_Mnov_MS51_n0028425,9.326086957,5,93,18
323,z0196892_Mnov_MS51_n0028444,9.809782609,5,110,29
31,z0051324_Mnov_MS51_n0028479,9.3125,6,91,26
35,z0051380_Mnov_MS51_n0028482,11.52173913,6,116,50
318,z0196887_Mnov_MS51_n0028440,8.315217391,6,97,15
5,z0029831_Mnov_MS51_n0028565,7.388586957,7,105,7
7,z0029846_Mnov_MS51_n0028455,9.581521739,7,143,27
32,z0051324_Mnov_MS51_n0028557,19.75543478,7,152,81
56,z0053760_Mnov_MS51_n0028492,20.75543478,7,152,85
165,z0195689_Mnov_MS51_n0028311,10.99728261,7,142,33
192,z0195736_Mnov_MS51_n0028333,12.33423913,7,151,38
92,z0107078_Mnov_MS51_n0028581,9.489130435,8,166,31
134,z0195650_Mnov_MS51_n0028284,9.58423913,8,154,26
223,z0195782_Mnov_MS51_n0028360,13.07880435,8,160,47
12,z0037611_Mnov_MS51_n0028459,10.80706522,9,177,52
45,z0051929_Mnov_MS51_n0028485,20.1548913,11,204,111
145,z0195667_Mnov_MS51_n0028293,13.16304348,11,205,77
9,z0029863_Mnov_MS51_n0028456,16.60326087,12,215,100
73,z0056389_Mnov_MS51_n0028508,65.41304348,12,197,140
155,z0195677_Mnov_MS51_n0028302,20.5951087,12,202,113
287,z0196812_Mnov_MS51_n0028415,18.61684783,12,218,110
105,z0175915_Mnov_MS51_n0028587,19.72282609,13,213,137
234,z0196723_Mnov_MS51_n0028380,20.57880435,13,226,120
328,z0197660_Mnov_MS51_n0028447,28.7201087,13,201,160
300,z0196842_Mnov_MS51_n0028423,18.79347826,13.5,238,122
135,z0195651_Mnov_MS51_n0028285,14.22282609,14,246,89
52,z0053757_Mnov_MS51_n0028489,15.13858696,15,244,113
64,z0056374_Mnov_MS51_n0028500,21.38858696,15,233,146
106,z0175916_Mnov_MS51_n0028530,29.54347826,16,227,171
284,z0196806_Mnov_MS51_n0028414,26,16,243,146
119,z0187859_Mnov_MS51_n0028594,31.68478261,18,241,175
310,z0196858_Mnov_MS51_n0028432,28.88043478,19,267,175
13,z0037624_Mnov_MS51_n0028469,45.1875,22,245,189
241,z0196733_Mnov_MS51_n0028541,43.11413043,23,262,205
75,z0056392_Mnov_MS51_n0028510,30.58695652,27,320,248
291,z0196830_Mnov_MS51_n0028417,46.09782609,28,297,234
21,z0045333_Mnov_MS51_n0028472,43.47826087,29.5,291,229
128,z0195644_Mnov_MS51_n0028279,30.14673913,29.5,352,300
257,z0196755_Mnov_MS51_n0028461,38.55434783,30,328,253
245,z0196738_Mnov_MS51_n0028386,63.37228261,33,299,234
107,z0175927_Mnov_MS51_n0028588,135.5380435,33.5,250,217
281,z0196800_Mnov_MS51_n0028412,51.80706522,34,304,244
10,z0029864_Mnov_MS51_n0028457,49.24728261,35,311,265
16,z0040345_Mnov_MS51_n0028564,50.73097826,35,316,246
33,z0051326_Mnov_MS51_n0028480,50.66847826,35,292,238
183,z0195720_Mnov_MS51_n0028325,44.10869565,37,353,308
317,z0196886_Mnov_MS51_n0028439,59.37228261,41,329,275
293,z0196832_Mnov_MS51_n0028419,60.73641304,41.5,316,266
265,z0196762_Mnov_MS51_n0028462,60.48641304,43.5,334,290
186,z0195726_Mnov_MS51_n0028539,71.49456522,45,313,253
295,z0196833_Mnov_MS51_n0028463,62.48913043,45,339,285
17,z0040363_Mnov_MS51_n0028555,67.38043478,46,325,278
78,z0056395_Mnov_MS51_n0028513,52.75815217,46,326,293
278,z0196793_Mnov_MS51_n0028411,66.17663043,46,330,288
54,z0053758_Mnov_MS51_n0028490,92.9673913,47.5,304,261
122,z0187868_Mnov_MS51_n0028595,85.38043478,50,319,273
96,z0108489_Mnov_MS51_n0028525,97.14130435,53,302,261
59,z0053844_Mnov_MS51_n0028495,60.29891304,57,334,303
114,z0178348_Mnov_MS51_n0028534,59.87771739,59,339,312
101,z0133302_Mnov_MS51_n0028527,84.20380435,60,333,293
38,z0051404_Mnov_MS51_n0028571,64.32065217,62.5,347,326
2,z0016578_Mnov_MS51_n0028452,128.8722826,64.5,307,276
110,z0175937_Mnov_MS51_n0028561,72.08423913,67.5,350,328
187,z0195727_Mnov_MS51_n0028328,103.0217391,67.5,348,321
228,z0196708_Mnov_MS51_n0028374,101.7771739,69.5,338,302
