LABID,prod,val,MS43,MS45,MS51,MS54,times.run,genos.10readsMin,genos.20readsMin
z0051404,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,316,298
z0055912,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,316,304
z0075696,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,4,316,304
z0196721,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,316,294
z0053100,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,4,315,300
z0056103,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,315,301
z0056393,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,315,297
z0195718,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,315,282
z0196886,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,315,283
z0056011,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,314,300
z0174005,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,314,297
z0187819,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,314,302
z0195651,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,3,314,293
z0196770,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,314,297
z0041522,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,313,271
z0056386,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,313,299
z0195724,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,313,294
z0196691,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,313,297
z0196800,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,313,278
z0053102,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,312,295
z0195728,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,312,282
z0040513,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,4,311,269
z0012702,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,310,294
z0053083,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,310,285
z0056392,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,4,310,287
z0178348,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,310,285
z0043940,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,309,293
z0044019,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,309,278
z0055947,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,309,292
z0187906,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,309,292
z0196708,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,309,283
z0041465,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,308,276
