"","Sample","Plate","Row","Column","LABID","Miseq.num","fname2","tot.reads","tot.aligned.reads","median.aligned.reads.per.loc","gt.10.aligned","gt.20.aligned","pct.on.target"
"346","z0197669_S346_L001_R1.fastq.gz",7,"B",4,"z0197669",346,"",208745,198554,479,357,353,0.951179668974107
"347","z0197672_S347_L001_R1.fastq.gz",7,"C",4,"z0197672",347,"",90009,86003,158,341,325,0.955493339554933
"348","z0207776_S348_L001_R1.fastq.gz",7,"D",4,"z0207776",348,"",289,159,0,0,0,0.550173010380623
"349","z0043627_S349_L001_R1.fastq.gz",7,"E",4,"z0043627",349,"",7481,3253,4,103,26,0.4348349151183
"350","z0043678_S350_L001_R1.fastq.gz",7,"F",4,"z0043678",350,"",337,100,0,0,0,0.29673590504451
"351","z0047587_S351_L001_R1.fastq.gz",7,"G",4,"z0047587",351,"",2435,361,0,1,1,0.148254620123203
"352","z0047603_S352_L001_R1.fastq.gz",7,"H",4,"z0047603",352,"",3444,942,1,1,1,0.273519163763066
"353","z0056052_S353_L001_R1.fastq.gz",7,"A",5,"z0056052",353,"",288,155,0,0,0,0.538194444444444
"354","z0056089_S354_L001_R1.fastq.gz",7,"B",5,"z0056089",354,"",2281,1755,3,53,7,0.769399386234108
"355","z0040513_S355_L001_R1.fastq.gz",7,"C",5,"z0040513",355,"",2144,502,1,2,1,0.234141791044776
"356","z0041526_S356_L001_R1.fastq.gz",7,"D",5,"z0041526",356,"",1687,348,1,1,0,0.206283343212804
"357","z0061527_S357_L001_R1.fastq.gz",7,"E",5,"z0061527",357,"",5494,1079,2,21,3,0.196396068438296
"358","z0043994_S358_L001_R1.fastq.gz",7,"F",5,"z0043994",358,"",17769,10398,19,253,179,0.585176430862739
"359","z0045776_S359_L001_R1.fastq.gz",7,"G",5,"z0045776",359,"",276614,259757,674,362,360,0.939059483612543
"360","z0046925_S360_L001_R1.fastq.gz",7,"H",5,"z0046925",360,"",623,205,0,0,0,0.329052969502408
"361","z0053078_S361_L001_R1.fastq.gz",7,"A",6,"z0053078",361,"",110434,102414,221,355,350,0.927377438107829
"362","z0053082_S362_L001_R1.fastq.gz",7,"B",6,"z0053082",362,"",5221,970,2,8,1,0.185788163187129
"363","z0053090_S363_L001_R1.fastq.gz",7,"C",6,"z0053090",363,"",32941,26724,47,321,281,0.811268631796242
"364","z0053111_S364_L001_R1.fastq.gz",7,"D",6,"z0053111",364,"",85565,77158,167.5,354,339,0.901747209723602
"365","z0043475_S365_L001_R1.fastq.gz",7,"E",6,"z0043475",365,"",47427,5850,14,237,128,0.12334746030742
"366","z0113628_S366_L001_R1.fastq.gz",7,"F",6,"z0113628",366,"",6834,481,1,2,1,0.0703833772314896
"367","z0146087_S367_L001_R1.fastq.gz",7,"G",6,"z0146087",367,"",318,106,0,0,0,0.333333333333333
"368","z0012702_S368_L001_R1.fastq.gz",7,"H",6,"z0012702",368,"",21699,17601,18,236,177,0.811143370662243
"369","z0055996_S369_L001_R1.fastq.gz",7,"A",7,"z0055996",369,"",82415,76746,167.5,356,340,0.931213978037979
"370","z0055997_S370_L001_R1.fastq.gz",7,"B",7,"z0055997",370,"",69703,64275,133.5,351,335,0.922126737730083
"371","z0056034_S371_L001_R1.fastq.gz",7,"C",7,"z0056034",371,"",6110,3662,6,130,44,0.599345335515548
"372","z0043839_S372_L001_R1.fastq.gz",7,"D",7,"z0043839",372,"",7634,3547,6,121,37,0.464631909876867
"373","z0055903_S373_L001_R1.fastq.gz",7,"E",7,"z0055903",373,"",118444,110810,294,359,352,0.935547600553848
"374","z0055962_S374_L001_R1.fastq.gz",7,"F",7,"z0055962",374,"",38187,31667,50,316,274,0.829261266923298
"375","z0043526_S375_L001_R1.fastq.gz",7,"G",7,"z0043526",375,"",92969,87357,159.5,348,337,0.93963579257602
"376","z0052846_S376_L001_R1.fastq.gz",7,"H",7,"z0052846",376,"",107615,100440,273,357,356,0.933327138410073
"377","z0055945_S377_L001_R1.fastq.gz",7,"A",8,"z0055945",377,"",1368,525,1,1,0,0.383771929824561
"378","z0056020_S378_L001_R1.fastq.gz",7,"B",8,"z0056020",378,"",172,57,0,0,0,0.331395348837209
"379","z0043640_S379_L001_R1.fastq.gz",7,"C",8,"z0043640",379,"",275,169,0,0,0,0.614545454545455
"380","z0043650_S380_L001_R1.fastq.gz",7,"D",8,"z0043650",380,"",16975,13047,25,279,206,0.76860088365243
