,Sample,Plate,Row,Column,LABID,Miseq.num,tot.reads,tot.aligned.reads,median.aligned.reads.per.loc,gt.10.aligned,gt.20.aligned,well,% on target
177,z0018264_Mnov_MS51_n0028453_R1.fastq.gz,2,A,11,z0018264,28453,92835,83427,205.5,361,359,A11,0.899
319,z0187868_Mnov_MS51_n0028595_R1.fastq.gz,8,G,4,z0187868,28595,34858,31420,50,319,273,G4,0.901
129,z0196772_Mnov_MS51_n0028405_R1.fastq.gz,2,A,5,z0196772,28405,77080,69514,161.5,356,348,A5,0.902
237,z0056395_Mnov_MS51_n0028513_R1.fastq.gz,3,E,6,z0056395,28513,21506,19415,46,326,293,E6,0.903
54,z0195730_Mnov_MS51_n0028330_R1.fastq.gz,1,F,7,z0195730,28330,163218,148228,363,356,353,F7,0.908
199,z0045350_Mnov_MS51_n0028475_R1.fastq.gz,3,G,1,z0045350,28475,63563,57800,153.5,358,355,G1,0.909
233,z0056391_Mnov_MS51_n0028509_R1.fastq.gz,3,A,6,z0056391,28509,64951,59076,147,360,351,A6,0.910
110,z0196738_Mnov_MS51_n0028386_R1.fastq.gz,2,F,2,z0196738,28386,25640,23321,33,299,234,F2,0.910
98,z0196708_Mnov_MS51_n0028374_R1.fastq.gz,2,B,1,z0196708,28374,41112,37454,69.5,338,302,B1,0.911
208,z0051893_Mnov_MS51_n0028484_R1.fastq.gz,3,H,2,z0051893,28484,69466,63439,162,356,346,H2,0.913
226,z0056377_Mnov_MS51_n0028502_R1.fastq.gz,3,B,5,z0056377,28502,76869,70255,172.5,359,353,B5,0.914
44,z0195710_Mnov_MS51_n0028320_R1.fastq.gz,1,D,6,z0195710,28320,232585,212753,467,360,358,D6,0.915
196,z0045333_Mnov_MS51_n0028472_R1.fastq.gz,3,D,1,z0045333,28472,17432,16000,29.5,291,229,D1,0.918
120,z0196756_Mnov_MS51_n0028396_R1.fastq.gz,2,H,3,z0196756,28396,113873,104555,243.5,359,355,H3,0.918
189,z0196854_Mnov_MS51_n0028465_R1.fastq.gz,2,E,12,z0196854,28465,196495,180468,390,359,355,E12,0.918
294,z0051402_Mnov_MS51_n0028570_R1.fastq.gz,8,F,1,z0051402,28570,438799,403401,1084.5,365,362,F1,0.919
132,z0196777_Mnov_MS51_n0028408_R1.fastq.gz,2,D,5,z0196777,28408,104119,95749,211,358,352,D5,0.920
113,z0196743_Mnov_MS51_n0028389_R1.fastq.gz,2,A,3,z0196743,28389,78268,72017,133,353,334,A3,0.920
325,z0196760_Mnov_MS51_n0028601_R1.fastq.gz,8,E,5,z0196760,28601,84471,77880,183.5,357,348,E5,0.922
175,z0011944_Mnov_MS51_n0028451_R1.fastq.gz,2,G,10,z0011944,28451,133570,123620,298.5,361,354,G10,0.926
239,z0056397_Mnov_MS51_n0028515_R1.fastq.gz,3,G,6,z0056397,28515,274070,254454,647,363,358,G6,0.928
304,z0107073_Mnov_MS51_n0028580_R1.fastq.gz,8,H,2,z0107073,28580,664524,617359,1520.5,363,359,H2,0.929
174,z0197679_Mnov_MS51_n0028450_R1.fastq.gz,2,F,10,z0197679,28450,121803,113218,304,360,358,F10,0.930
60,z0195741_Mnov_MS51_n0028336_R1.fastq.gz,1,D,8,z0195741,28336,109184,101517,199,357,348,D8,0.930
178,z0029829_Mnov_MS51_n0028454_R1.fastq.gz,2,B,11,z0029829,28454,60570,56323,88.5,332,305,B11,0.930
261,z0187906_Mnov_MS51_n0028537_R1.fastq.gz,3,E,9,z0187906,28537,42573,39604,89,338,317,E9,0.930
161,z0196863_Mnov_MS51_n0028437_R1.fastq.gz,2,A,9,z0196863,28437,73316,68232,158.5,358,346,A9,0.931
198,z0045342_Mnov_MS51_n0028474_R1.fastq.gz,3,F,1,z0045342,28474,39336,36662,75.5,336,312,F1,0.932
268,z0196758_Mnov_MS51_n0028544_R1.fastq.gz,3,D,10,z0196758,28544,70664,65941,159,356,349,D10,0.933
116,z0196748_Mnov_MS51_n0028392_R1.fastq.gz,2,D,3,z0196748,28392,118159,110311,236.5,354,347,D3,0.934
59,z0195739_Mnov_MS51_n0028335_R1.fastq.gz,1,C,8,z0195739,28335,75379,70383,123,354,345,C8,0.934
131,z0196775_Mnov_MS51_n0028407_R1.fastq.gz,2,C,5,z0196775,28407,83317,77799,176.5,357,348,C5,0.934
312,z0175927_Mnov_MS51_n0028588_R1.fastq.gz,8,H,3,z0175927,28588,53415,49878,33.5,250,217,H3,0.934
229,z0056382_Mnov_MS51_n0028505_R1.fastq.gz,3,E,5,z0056382,28505,87568,81816,185.5,353,342,E5,0.934
170,z0197659_Mnov_MS51_n0028446_R1.fastq.gz,2,B,10,z0197659,28446,53611,50107,89.5,329,294,B10,0.935
283,z0056378_Mnov_MS51_n0028559_R1.fastq.gz,3,C,12,z0056378,28559,80184,74958,171,353,343,C12,0.935
133,z0196778_Mnov_MS51_n0028409_R1.fastq.gz,2,E,5,z0196778,28409,118907,111188,245,358,352,E5,0.935
140,z0196826_Mnov_MS51_n0028416_R1.fastq.gz,2,D,6,z0196826,28416,90812,85004,169,357,347,D6,0.936
124,z0196762_Mnov_MS51_n0028400_R1.fastq.gz,2,D,4,z0196762,28400,77439,72583,163,352,337,D4,0.937
53,z0195729_Mnov_MS51_n0028329_R1.fastq.gz,1,E,7,z0195729,28329,78353,73491,116.5,347,328,E7,0.938
46,z0195713_Mnov_MS51_n0028322_R1.fastq.gz,1,F,6,z0195713,28322,256384,240787,558.5,361,359,F6,0.939
41,z0195707_Mnov_MS51_n0028317_R1.fastq.gz,1,A,6,z0195707,28317,108386,101800,229,359,353,A6,0.939
114,z0196744_Mnov_MS51_n0028390_R1.fastq.gz,2,B,3,z0196744,28390,101179,95056,208,356,343,B3,0.939
172,z0197671_Mnov_MS51_n0028448_R1.fastq.gz,2,D,10,z0197671,28448,68789,64679,103,325,293,D10,0.940
117,z0196749_Mnov_MS51_n0028393_R1.fastq.gz,2,E,3,z0196749,28393,116818,109861,237,358,353,E3,0.940
123,z0196761_Mnov_MS51_n0028399_R1.fastq.gz,2,C,4,z0196761,28399,90667,85361,190.5,355,339,C4,0.941
130,z0196773_Mnov_MS51_n0028406_R1.fastq.gz,2,B,5,z0196773,28406,83956,79101,172.5,352,338,B5,0.942
225,z0056375_Mnov_MS51_n0028501_R1.fastq.gz,3,A,5,z0056375,28501,82042,77312,177,357,349,A5,0.942
195,z0045332_Mnov_MS51_n0028471_R1.fastq.gz,3,C,1,z0045332,28471,50718,47846,111,353,332,C1,0.943
278,z0040345_Mnov_MS51_n0028554_R1.fastq.gz,3,F,11,z0040345,28554,63869,60328,135,355,340,F11,0.945
144,z0196833_Mnov_MS51_n0028420_R1.fastq.gz,2,H,6,z0196833,28420,109211,103162,214.5,358,348,H6,0.945
286,z0187860_Mnov_MS51_n0028562_R1.fastq.gz,3,F,12,z0187860,28562,64361,60841,155.5,361,352,F12,0.945
310,z0175377_Mnov_MS51_n0028586_R1.fastq.gz,8,F,3,z0175377,28586,87645,82861,210.5,357,350,F3,0.945
126,z0196767_Mnov_MS51_n0028402_R1.fastq.gz,2,F,4,z0196767,28402,80722,76325,167,356,341,F4,0.946
134,z0196781_Mnov_MS51_n0028410_R1.fastq.gz,2,F,5,z0196781,28410,125962,119242,260,358,354,F5,0.947
