,labID,genos,missing
604,z0196835,326,42
623,z0196857,326,42
73,z0041501,325,43
104,z0043649,325,43
167,z0045779,325,43
179,z0049020,325,43
198,z0051888,325,43
199,z0051891,325,43
217,z0053031,325,43
220,z0053051,325,43
254,z0055903,325,43
285,z0056062,325,43
352,z0108508,325,43
440,z0195706,325,43
442,z0195708,325,43
448,z0195714,325,43
455,z0195722,325,43
468,z0195737,325,43
558,z0196757,325,43
566,z0196765,325,43
574,z0196774,325,43
593,z0196823,325,43
622,z0196856,325,43
627,z0196861,325,43
11,z0016579,324,44
112,z0043807,324,44
161,z0045736,324,44
163,z0045740,324,44
170,z0045789,324,44
295,z0056085,324,44
437,z0195703,324,44
474,z0195743,324,44
511,z0196692,324,44
522,z0196718,324,44
530,z0196727,324,44
